DATE,WILLREITIND
2005-06-28,4102.72
2005-06-29,4111.81
2005-06-30,4119.76
2005-07-01,4159.07
2005-07-04,.
2005-07-05,4204.33
2005-07-06,4185.38
2005-07-07,4205.29
2005-07-08,4271.04
2005-07-11,4326.62
2005-07-12,4330.73
2005-07-13,4303.43
2005-07-14,4231.00
2005-07-15,4253.26
2005-07-18,4262.83
2005-07-19,4296.12
2005-07-20,4334.08
2005-07-21,4273.14
2005-07-22,4309.22
2005-07-25,4323.58
2005-07-26,4362.71
2005-07-27,4378.64
2005-07-28,4437.73
2005-07-29,4434.05
2005-08-01,4435.08
2005-08-02,4470.66
2005-08-03,4455.56
2005-08-04,4370.36
2005-08-05,4222.56
2005-08-08,4068.07
2005-08-09,4107.44
2005-08-10,4126.20
2005-08-11,4173.69
2005-08-12,4184.82
2005-08-15,4224.44
2005-08-16,4247.41
2005-08-17,4212.07
2005-08-18,4181.04
2005-08-19,4164.96
2005-08-22,4189.19
2005-08-23,4193.90
2005-08-24,4208.28
2005-08-25,4225.05
2005-08-26,4176.47
2005-08-29,4166.26
2005-08-30,4175.62
2005-08-31,4263.84
2005-09-01,4288.80
2005-09-02,4277.84
2005-09-05,.
2005-09-06,4373.46
2005-09-07,4344.33
2005-09-08,4334.09
2005-09-09,4353.33
2005-09-12,4339.12
2005-09-13,4309.38
2005-09-14,4299.31
2005-09-15,4313.91
2005-09-16,4314.68
2005-09-19,4277.78
2005-09-20,4247.55
2005-09-21,4157.21
2005-09-22,4170.12
2005-09-23,4179.90
2005-09-26,4197.46
2005-09-27,4188.79
2005-09-28,4162.21
2005-09-29,4226.28
2005-09-30,4282.25
2005-10-03,4301.20
2005-10-04,4226.40
2005-10-05,4147.11
2005-10-06,4137.53
2005-10-07,4100.67
2005-10-10,4048.65
2005-10-11,4024.83
2005-10-12,3956.42
2005-10-13,3952.96
2005-10-14,4044.61
2005-10-17,4065.67
2005-10-18,4022.19
2005-10-19,4077.51
2005-10-20,4017.90
2005-10-21,4062.54
2005-10-24,4142.88
2005-10-25,4120.06
2005-10-26,4085.65
2005-10-27,4042.24
2005-10-28,4159.77
2005-10-31,4191.28
2005-11-01,4098.22
2005-11-02,4132.71
2005-11-03,4110.47
2005-11-04,4096.97
2005-11-07,4119.58
2005-11-08,4104.07
2005-11-09,4152.68
2005-11-10,4244.53
2005-11-11,4279.49
2005-11-14,4264.54
2005-11-15,4256.62
2005-11-16,4242.68
2005-11-17,4306.95
2005-11-18,4334.48
2005-11-21,4354.93
2005-11-22,4403.57
2005-11-23,4426.71
2005-11-24,.
2005-11-25,4434.73
2005-11-28,4389.80
2005-11-29,4405.45
2005-11-30,4385.96
2005-12-01,4440.47
2005-12-02,4435.56
2005-12-05,4399.80
2005-12-06,4387.27
2005-12-07,4362.66
2005-12-08,4396.35
2005-12-09,4416.08
2005-12-12,4408.48
2005-12-13,4438.44
2005-12-14,4449.98
2005-12-15,4417.12
2005-12-16,4424.61
2005-12-19,4373.12
2005-12-20,4368.90
2005-12-21,4402.76
2005-12-22,4427.27
2005-12-23,4444.87
2005-12-26,.
2005-12-27,4436.44
2005-12-28,4433.02
2005-12-29,4406.31
2005-12-30,4390.31
2006-01-02,.
2006-01-03,4485.39
2006-01-04,4503.92
2006-01-05,4548.88
2006-01-06,4597.76
2006-01-09,4631.57
2006-01-10,4672.65
2006-01-11,4665.49
2006-01-12,4654.63
2006-01-13,4588.17
2006-01-16,.
2006-01-17,4579.50
2006-01-18,4572.68
2006-01-19,4634.13
2006-01-20,4582.61
2006-01-23,4615.46
2006-01-24,4648.41
2006-01-25,4645.65
2006-01-26,4665.49
2006-01-27,4731.34
2006-01-30,4714.88
2006-01-31,4734.44
2006-02-01,4758.40
2006-02-02,4726.17
2006-02-03,4672.56
2006-02-06,4694.51
2006-02-07,4654.10
2006-02-08,4637.33
2006-02-09,4654.31
2006-02-10,4656.93
2006-02-13,4669.47
2006-02-14,4697.34
2006-02-15,4739.61
2006-02-16,4775.75
2006-02-17,4811.01
2006-02-20,.
2006-02-21,4828.46
2006-02-22,4880.97
2006-02-23,4873.94
2006-02-24,4849.39
2006-02-27,4853.82
2006-02-28,4835.78
2006-03-01,4861.89
2006-03-02,4848.99
2006-03-03,4827.60
2006-03-06,4920.96
2006-03-07,4860.30
2006-03-08,4883.88
2006-03-09,4931.12
2006-03-10,4976.88
2006-03-13,4946.89
2006-03-14,4981.49
2006-03-15,5070.99
2006-03-16,5124.08
2006-03-17,5170.38
2006-03-20,5085.64
2006-03-21,5024.10
2006-03-22,5039.44
2006-03-23,5050.63
2006-03-24,5031.88
2006-03-27,4980.79
2006-03-28,5041.57
2006-03-29,5155.06
2006-03-30,5074.64
2006-03-31,5083.35
2006-04-03,4985.87
2006-04-04,4947.66
2006-04-05,4988.09
2006-04-06,4961.27
2006-04-07,4883.86
2006-04-10,4831.07
2006-04-11,4811.80
2006-04-12,4813.56
2006-04-13,4751.44
2006-04-14,.
2006-04-17,4734.41
2006-04-18,4851.81
2006-04-19,4917.68
2006-04-20,4921.42
2006-04-21,4929.29
2006-04-24,4897.30
2006-04-25,4866.44
2006-04-26,4841.99
2006-04-27,4879.78
2006-04-28,4891.01
2006-05-01,4830.82
2006-05-02,4790.07
2006-05-03,4796.27
2006-05-04,4865.33
2006-05-05,4930.39
2006-05-08,4953.56
2006-05-09,4953.39
2006-05-10,4957.30
2006-05-11,4847.30
2006-05-12,4781.33
2006-05-15,4847.80
2006-05-16,4823.13
2006-05-17,4732.67
2006-05-18,4701.91
2006-05-19,4701.33
2006-05-22,4674.46
2006-05-23,4638.37
2006-05-24,4648.89
2006-05-25,4755.18
2006-05-26,4798.58
2006-05-29,.
2006-05-30,4757.51
2006-05-31,4755.62
2006-06-01,4854.14
2006-06-02,4905.06
2006-06-05,4932.88
2006-06-06,4891.36
2006-06-07,4908.54
2006-06-08,4892.57
2006-06-09,4933.27
2006-06-12,4868.53
2006-06-13,4824.19
2006-06-14,4796.49
2006-06-15,4876.59
2006-06-16,4877.81
2006-06-19,4847.58
2006-06-20,4816.98
2006-06-21,4869.63
2006-06-22,4834.18
2006-06-23,4805.64
2006-06-26,4850.44
2006-06-27,4838.59
2006-06-28,4873.48
2006-06-29,4969.86
2006-06-30,5026.19
2006-07-03,5094.35
2006-07-04,.
2006-07-05,5095.37
2006-07-06,5109.24
2006-07-07,5087.38
2006-07-10,5140.76
2006-07-11,5144.74
2006-07-12,5166.82
2006-07-13,5096.09
2006-07-14,5028.09
2006-07-17,5024.08
2006-07-18,5080.79
2006-07-19,5179.74
2006-07-20,5127.78
2006-07-21,5039.70
2006-07-24,5126.31
2006-07-25,5153.91
2006-07-26,5177.34
2006-07-27,5159.70
2006-07-28,5234.37
2006-07-31,5204.65
2006-08-01,5181.76
2006-08-02,5173.14
2006-08-03,5224.49
2006-08-04,5310.93
2006-08-07,5255.54
2006-08-08,5166.88
2006-08-09,5141.96
2006-08-10,5140.95
